symbol,company,callname
FTSM,First Tri-Star Modaraba,First Tri-Star Modaraba
FZCM,Fazal Cloth Mills Limited,Fazal Cloth Mills
GADT,Gadoon Textile Mills Limited,Gadoon Textile Mills
GAL,Ghandhara Automobiles Limited,Ghandhara Automobiles
GAMON,Gammon Pakistan Limited,Gammon Pakistan
GATI,Gatron (Industries) Limited,Gatron Limited
GATM,Gul Ahmed Textile Mills Limited,Gul Ahmed Textile Mills
GCIL,Ghani Chemical Industries Limited,Ghani Chemical Industries
GCWL,Ghani Chemworld Limited,Ghani Chemworld
GCWLPRS,Ghani Chemworld Limited(PRS),Ghani Chemworld
GDL,Ghani Dairies Limited,Ghani Dairies
GEMBCEM,Burj Clean Energy Modaraba(GEM),Burj Clean Energy Modaraba
GEMMEL,Mughal Energy Limited(GEM),Mughal Energy
GEMNETS,Nets International Communication Limited,Nets International Communication
GEMPACRA,The Pakistan Credit Rating Agency Ltd,The Pakistan Credit Rating Agency
GEMPAPL,Pak Agro Packaging Limited(GEM),Pak Agro Packaging
GFIL,Ghazi Fabrics International Limited,Ghazi Fabrics International
GGGL,Ghani Global Glass Limited,Ghani Global Glass
GGL,Ghani Global Holdings Limited,Ghani Global Holdings
GHGL,Ghani Glass Limited,Ghani Glass
GHNI,Ghandhara Industries Limited,Ghandhara Industries
GIL,Good Luck Industries Ltd.,Good Luck Industries
GLAXO,GlaxoSmithKline Pakistan Limited,GlaxoSmithKline Pakistan
GLOT,Globe Textile Mills Limited,Globe Textile Mills
GOC,GOC (Pak) Limited.,GOC Limited.
GRR,Globe Residency REIT,Globe Residency REIT
GRYL,Grays Leasing Limited,Grays Leasing
GSPM,Gulshan Spinning Mills Limited,Gulshan Spinning Mills
GTYR,Ghandhara Tyre & Rubber Company Limited,Ghandhara Tyre & Rubber Company
GUSM,Gulistan Spinning Mills Limited,Gulistan Spinning Mills
GUTM,Gulistan Textile Mills Limited,Gulistan Textile Mills
GVGL,Ghani Value Glass Limited,Ghani Value Glass
GWLC,Gharibwal Cement Limited,Gharibwal Cement
HABSM,Habib Sugar Mills Limited,Habib Sugar Mills
HADC,Haydari Construction Company Limited,Haydari Construction Company
HAEL,Hala Enterprises Limited,Hala Enterprises
HAFL,Hafiz Limited,Hafiz Limited
HAJT,Hajra Textile Mills Limited,Hajra Textile Mills
HALEON,Haleon Pakistan Limited,Haleon Pakistan
HASCOL,Hascol Petroleum Limited,Hascol Petroleum
